Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email 
Шухевич,Демид,,Чоловік,1951-12-29,Електрослюсар,село Єнакієве,"парк Леваневського, буд. 3, Джанкой, 62846",459 78 68,viktorakymenko@example.net
Усик,Андрій,,Чоловік,1987-11-25,Психолог,хутір Фастів,"набережна Кривобалківська, буд. 540 кв. 3, Помічна, 29245",+380 29 556 38 24,iakymenkomykhailyna@example.org
Бабійчук,Симон,,Чоловік,1946-12-14,Геофізик,село Первомайськ,"площа Осіння, буд. 28 кв. 54, Стебник, 88409",+380 07 386-37-42,danna16@example.com
Бандера,Захар,,Чоловік,1977-10-20,Дерун,село Українка ,"парк Танкістів, буд. 76, Чистякове, 26234",042 048 69 19,tymofiishcherbak@example.net
Верменич,Орхип,,Чоловік,1965-04-02,Музикант,село Рожище,"шосе Градоначальницька, буд. 421 кв. 9, Суходільськ, 04117",+380 90 220 53 20,frankozlatoslava@example.net
Яремчук,Ярослав,,Чоловік,1997-02-27,Перекладач,село Біляївка,"парк Педагогічна, буд. 9 кв. 20, Підгородне, 66537",072 906 62 82,tarasavramchuk@example.net
Ільєнко,Сергій,,Чоловік,1952-10-06,Палеонтолог,село Кіцмань,"вулиця Пішонівська, буд. 8 кв. 27, Конотоп, 97326",632-34-38,aderehus@example.net
Артимишин,Омелян,,Чоловік,1998-06-05,Лікар,хутір Нове Давидково,"узвіз Ползунова 1-й, буд. 6, Андрушівка, 52403",+380 82 511-16-99,alina58@example.com
Штепа,Остап,,Чоловік,1950-02-06,Хімік,село Судак ,"площа Проїзний 1-й, буд. 69 кв. 9, Керч, 52178",+380 90 066-63-39,nestor87@example.net
Аврамчук,Олег,,Чоловік,1992-10-14,Геолог,селище Олександрія,"шосе Костанді, буд. 55, Бердичів, 93141",+380 (98) 438-79-50,hennadiiisaievych@example.net
Колесниченко,Камілла,Олександрівна,Жінка,1987-07-31,Локсмайстер,село Географія Вільнянська,"шосе Угорська, буд. 771, Білогірськ, 20293",+380 84 925 40 78,herman14@example.net
Андріїшин,Софія,Василівна,Жінка,1991-08-01,Фотограф,село Тараща,"парк Пілотна, буд. 757, Волочиськ, 32489",+380 56 333 99 87,geregamilena@example.com
Демʼянчук,Марʼяна,Богданівна,Жінка,1970-06-19,Кухар,село Апостолове,"проспект Вільгельма Габсбурга, буд. 1, Гірське, 49997",055 649 07 11,adatiahnybok@example.org
Дзюба,Сніжана,Кирилівна,Жінка,1994-11-20,Слідчий,хутір Зіньків,"шосе Карантинний узвіз, буд. 2, Ворожба, 71935",047 993 07 79,rudykiosyp@example.org
Бараник,Оксана,Максимівна,Жінка,1959-08-09,Палеонтолог,хутір Бершадь,"проспект Новгородський 2-й, буд. 956, Феодосія, 56663",+380 (60) 656-18-65,iefrem96@example.org
Аврамчук,Клавдія,Олегівна,Жінка,1944-06-20,Патологоанатом,місто Армянськ,"вулиця Крутоярська, буд. 588 кв. 54, Мена , 58946",088 764-35-08,tsiupazlatoslava@example.org
Бандурка,Дарина,Володимирівна,Жінка,1992-02-24,Епідеміолог,місто Кипуче,"узвіз Гена Іоганна, буд. 3, Радомишль, 07778",+380 (39) 138-97-23,qivanychuk@example.net
Валенко,Аніта,Леонідівна,Жінка,1976-07-31,Сценарист,хутір Жданівка,"шосе Асташкіна, буд. 1, Суходільськ, 40177",195 29 65,eskopenko@example.com
Пелех,Віра,Тарасівна,Жінка,1981-03-13,Кушнір,село Сватове,"вулиця Виноградний, буд. 43, Вижниця, 42133",037 864 44 55,liliia46@example.net
Тесля,Роксолана,Ігорівна,Жінка,2000-10-15,Драматург,селище Зоринськ,"парк Василя Кандинського, буд. 55 кв. 566, Херсон, 37624",740-15-26,aartym@example.org
Дахно,Алла,Дмитрівна,Жінка,1964-01-01,Математик,хутір Глиняни,"вулиця Дунаєвського 2-й, буд. 97 кв. 6, Городенка, 23509",166-15-13,zakharenkovadym@example.com
Приходько,Емілія,Романівна,Жінка,1984-12-19,Редактор,селище Залізне,"проспект Олександра Тимошенка, буд. 9 кв. 160, Красилів, 06554",+380 (25) 058-17-88,panteleimonhavrylets@example.net
Хорішко,Анжела,Петрівна,Жінка,1955-07-04,Фрілансер,селище Рені,"набережна 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 7, Хрустальний, 65037",683-61-59,xsirko@example.net
Козаченко,Емілія,Едуардівна,Жінка,1941-01-26,Нотаріус,хутір Миргород,"проспект Аркадіївський, буд. 2 кв. 142, Трускавець, 83289",056 164-51-27,bohodarkhomyk@example.net
Даньків,Дарина,Віталіївна,Жінка,1999-02-28,Дерун,селище Радивилів,"набережна Миколи Плигуна, буд. 89, Корюківка, 32130",843 05 74,iaroslavholyk@example.net
Шаповал,Ганна,Ярославівна,Жінка,1968-01-05,Модель,село Славутич,"набережна Курортний 6-й, буд. 4, Гуляйполе, 69604",151-46-49,ebabiichuk@example.com
Нестеренко,Вікторія,Юріївна,Жінка,1988-02-23,Юрист,село Вараш,"парк Костанді, буд. 91, Олександрія, 42753",009 243-77-51,nadiiasahal@example.org
Малишко,Марина,Святославівна,Жінка,1940-12-05,Провізор,хутір Моспине,"вулиця Тетяни Тесс, буд. 25, Курахове, 02340",+380 32 147-00-52,psimashkevych@example.net
Скопенко,Варвара,Назарівна,Жінка,2005-08-17,Будник,місто Севастополь,"шосе Ванцетті, буд. 2, Андрушівка, 84050",+380 99 290-81-18,romanbabychenko@example.org
Сірко,Єва,Миколаївна,Жінка,2005-03-06,Фотограф,селище Андрушівка,"провулок Керченський 2-й, буд. 6, Берегове, 02255",046 701 51 85,adam27@example.org
Лесик,Галина,,Жінка,1979-06-07,Електромонтер,місто Українка ,"вулиця Людмили Гінзбург, буд. 19 кв. 40, Рожище, 98402",051 269-91-54,myronmakohon@example.org
Корсун,Марія,,Жінка,1967-02-28,Бізнесмен,хутір Керч,"площа Кривобалківська, буд. 08 кв. 3, Теребовля, 42012",+380 (30) 959-70-45,hvashchenko@example.com
Ґалаґан,Марія,,Жінка,1972-05-29,Хімік,селище Павлоград,"сквер Амурська, буд. 8, Заводське, 53908",+380 65 752-98-30,ykylymnyk@example.org
Власюк,Альбіна,,Жінка,1990-05-31,Професор,хутір Заводське,"набережна Перлинна, буд. 37, Горохів, 43589",+380 24 572-78-35,babychamaliia@example.com
Литвин,Соломія,,Жінка,2000-12-13,Бізнесмен,селище Конотоп,"узвіз Озерна, буд. 92 кв. 14, Вільнянськ, 75651",032 462-10-82,rubetsnataliia@example.net
Свистун,Оксана,,Жінка,1947-07-18,Бібліотекар,хутір Липовець,"сквер Радіальна, буд. 3 кв. 00, Джанкой, 11244",+380 66 929-53-24,abramenkomyroslav@example.org
Ґалаґан,Варвара,,Жінка,1957-02-12,Фрілансер,село Борзна,"сквер Степна, буд. 19 кв. 358, Залізне, 86831",020 486-79-59,tkachherman@example.com
Савенко,Ада,,Жінка,1939-05-09,Підприємець,село Кременчук,"площа Лермонтовський 2-й, буд. 86 кв. 360, Южне, 46088",+380 93 417-27-14,anitalupii@example.net
Малик,Марія,,Жінка,1992-08-22,Підприємець,селище Вишгород,"набережна Нова, буд. 003, Тростянець, 77250",025-66-22,les29@example.net
Чуприна,Галина,,Жінка,1980-03-10,Астронавт,місто Чуднів,"парк Заводська 1-ша, буд. 2, Золотоноша, 34629",028 857 49 99,tetiana92@example.com
Сірченко,Аніта,,Жінка,2002-07-24,Музикознавець,селище Новодністровськ,"парк Дунаєва, буд. 7 кв. 0, Подільськ, 76116",171-59-85,mudovychenko@example.org
Єщенко,Клавдія,,Жінка,2001-08-10,Електрик,місто Київ,"набережна Лузанівський 2-й, буд. 3, Першотравенськ, 51862",+380 10 278-80-71,avlasenko@example.net
Зінчук,Сніжана,,Жінка,1949-12-09,Географ,хутір Кремінна,"провулок Серединський, буд. 617 кв. 22, Чистякове, 02960",+380 49 509 38 19,okhrimzabarna@example.net
Комар,Оксенія,,Жінка,1960-05-16,Живописець,хутір Балта,"вулиця Партизанської Слави, буд. 871, Новодністровськ, 99660",008 911 47 27,fedir41@example.org
Царенко,Світлана,,Жінка,1946-08-24,Письменник,село Хрестівка,"провулок Сабанський, буд. 10 кв. 94, Покров, 36123",+380 27 811-38-96,kkorpaniuk@example.net
Лубенець,Маруся,,Жінка,1953-06-30,Професор,село Кременчук,"проспект Мельницька, буд. 8 кв. 62, Малин, 38080",824-44-97,skorobohatkovalentyna@example.org
Вівчаренко,Вікторія,,Жінка,1946-10-10,Кінорежисер,село Дружківка,"узвіз Хлібна гавань, буд. 6 кв. 73, Жовква, 03121",328-48-21,hannashvachka@example.com
Баштан,Соломія,,Жінка,1942-08-09,Бізнесмен,хутір Перевальськ,"сквер Отамана Головатого, буд. 220, Прилуки, 79139",378 88 26,vaverchenko@example.com
Тихий,Наталія,,Жінка,1966-06-11,Етнограф,селище Сіверськ,"провулок 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 1 кв. 6, Красногорівка, 37646",022 722 39 94,tarastytarenko@example.net
Деряжний,Світлана,,Жінка,1968-03-29,Фізик,місто Буча,"проспект Нерубайська, буд. 915 кв. 738, Бориспіль, 08101",028 306-30-35,gdevdiuk@example.org
Яценко,Софія,,Жінка,1984-05-21,Няня,селище Борислав,"узвіз Купріна, буд. 69 кв. 9, Бережани, 39806",715 37 38,briabovil@example.net
Харченко,Едита,,Жінка,1983-05-28,Мірошник,хутір Феодосія,"шосе Килимовий, буд. 260 кв. 8, Монастириська, 99660",899 38 34,xvanchenko@example.com
Скорик,Орися,,Жінка,1943-10-28,Палеонтолог,місто Полтава,"узвіз Волниста, буд. 87 кв. 52, Глобине, 28215",+380 (77) 359-21-47,boleslav45@example.com
Гайда,Дарина,,Жінка,1979-09-08,Краєзнавець,місто Татарбунари,"проспект Василя Кандинського 5-й, буд. 34 кв. 96, Берислав, 48699",074 433 25 98,petrolevchenko@example.com
Ґерета,Орися,,Жінка,1988-03-11,Візажист,село Мала Виска,"провулок Роздольна, буд. 349 кв. 0, Українка , 15619",+380 (89) 481-51-96,iaroshlukian@example.net
Ткаченко,Роксолана,,Жінка,2005-08-17,Електрослюсар,село Перевальськ,"набережна Долинська, буд. 4 кв. 963, Іллінці, 67107",+380 99 352-13-09,chervonenkodan@example.net
Ґерета,Галина,,Жінка,1951-07-14,Біолог,село Біляївка,"провулок Миколи Гумільова, буд. 0, Чуднів, 95056",063 143 44 56,scharnysh@example.net
Щербак,Валентина,,Жінка,2002-08-24,Мовознавець,місто Черкаси,"шосе 1-й Академічний тупик, буд. 96, Кипуче, 99474",+380 71 531-83-97,adasych@example.org
Данчук,Едита,,Жінка,1943-04-23,Маркетолог,селище Луганськ,"проспект Академіка Гаркавого, буд. 4 кв. 7, Подільськ, 47118",000 574 33 79,teodormakohon@example.org
Оніщук,Едита,,Жінка,1954-03-24,Кушнір,хутір Сокаль,"узвіз Вернидуба, буд. 927, Сімферополь, 63683",+380 95 046-15-31,erika80@example.com
Палій,Людмила,,Жінка,1995-02-27,Електротехнік,селище Алушта,"площа Мічманський 2-й, буд. 4, Старобільськ, 61300",+380 39 247 74 75,uhuz@example.net
Дрозденко,Клавдія,,Жінка,1977-06-04,Шериф,селище Ворожба,"набережна Лінія 43-тя, буд. 57 кв. 90, Тернопіль, 72949",847 05 20,qcherednyk@example.com
Корпанюк,Марія,,Жінка,1939-11-15,Ріелтор,місто Щастя ,"провулок Каштанова, буд. 69, Кролевець, 97859",+380 76 586-07-26,bshchyrytsia@example.org
Романенко,Аліна,,Жінка,1954-06-22,Перекладач,місто Південне ,"узвіз Миколи Боровського, буд. 372, Прилуки, 25753",+380 (27) 739-72-28,oksanasmyk@example.org
Масляк,Оксана,,Жінка,1971-02-10,Кінорежисер,місто Іллінці,"узвіз Тимірязєва 5-й, буд. 4, Сімферополь, 31806",+380 59 222-69-05,azar44@example.com
Бебешко,Одарка,,Жінка,1985-01-26,Астрофізик,село Березне,"проспект Овідіопольська дуга, буд. 4 кв. 76, Борщів, 04018",373 86 98,priskavyshyvanyi@example.net
Вертипорох,Пріска,,Жінка,1969-03-04,Піаніст,село Новоград-Волинський,"провулок Благовидової, буд. 003, Родинське, 39399",+380 74 831 28 39,xkonoplia@example.net
Малишко,Одарка,,Жінка,1987-10-02,Ботанік,село Ізяслав,"набережна Нежданової, буд. 111 кв. 85, Очаків, 46129",178 01 64,oopanasenko@example.org
Козаченко,Альбіна,,Жінка,1951-07-25,Бібліограф,місто Пирятин,"площа Дальній, буд. 13, Глобине, 76412",531 60 40,piatachenkoorkhyp@example.net
Дахно,Данна,,Жінка,1982-05-12,Драматург,хутір Ржищів,"сквер Ванцетті, буд. 64 кв. 106, Вашківці, 48753",064 026-29-76,valerii61@example.net
Штепа,Оксенія,,Жінка,1960-08-31,Професор,селище Рава-Руська,"парк Лінія 25-та, буд. 07 кв. 56, Суми, 52395",883-40-97,klymentatroshchenko@example.net
Іваничук,Ярина,,Жінка,1940-10-04,Електромонтер,місто Болехів,"парк Молодіжна, буд. 63 кв. 534, Вугледар, 23467",+380 (53) 920-02-40,baturynetsoksana@example.net
Гупало,Ярослава,,Жінка,1954-02-08,Кур'єр,хутір Таврійськ,"сквер Дністровська, буд. 061 кв. 09, Южне, 88637",+380 42 825-57-45,emykhaliuk@example.org
Габелко,Маруся,,Жінка,1993-07-29,Соціолог,селище Хмільник,"провулок Іподромний, буд. 7 кв. 24, Кременець, 17304",+380 08 792-39-67,halynazaporozhets@example.com
Дурдинець,Розалія,,Жінка,1959-08-18,Електромонтер,село Сватове,"вулиця Рульовий, буд. 70, Макіївка, 87559",+380 (09) 563-81-10,omelianbazavluchenko@example.org
Сімашкевич,Анжела,,Жінка,1948-03-02,Мірошник,місто Кам'янка (Черкаська область),"шосе Верещагіна, буд. 80, Бурштин , 31041",+380 03 220 01 81,karpaorest@example.org
Михалюк,Ірена,,Жінка,2007-12-08,Фармацевт,місто Нове Давидково,"набережна Гранатна, буд. 69 кв. 332, Ірпінь, 46444",+380 77 639-80-82,tarasirvanets@example.net
Засядько,Ярина,,Жінка,1985-10-08,Випробувач,селище Вільногірськ,"провулок Сінна, буд. 60, Городок, 81311",324-14-60,panteleimonartemenko@example.org
Павлик,Оксана,,Жінка,1984-04-18,Композитор,селище Вільнянськ,"набережна Леха Качинського, буд. 015 кв. 5, Красногорівка, 97022",+380 (47) 374-24-42,ktsiupa@example.net
Павличенко,Світлана,,Жінка,1941-08-19,Кінолог,селище Щастя ,"площа Отамана Головатого, буд. 6, Рені, 52929",173-22-81,heorhii99@example.net
Дубенко,Камілла,,Жінка,1961-06-15,Бібліограф,місто Гірник ,"провулок Дерибасівська, буд. 422 кв. 30, Люботин, 23148",+380 04 337-57-91,hzubko@example.net
Засуха,Ярослава,,Жінка,1965-01-26,Музичний редактор,селище Харків,"набережна Гімназична, буд. 4 кв. 0, Боярка, 64529",+380 83 203 50 31,redkonazar@example.com
Ярош,Тереза,,Жінка,2006-10-28,Пілот,хутір Первомайськ,"сквер Жасминна, буд. 233, Бурштин , 29432",042 809-65-86,markosomko@example.net
Комар,Еріка,,Жінка,1989-02-15,Астрофізик,хутір Кадіївка,"набережна Вапняний 3-й, буд. 37 кв. 13, Зугрес, 40904",456-97-21,jhavrylyshyn@example.org
Єрченко,Юстина,,Жінка,1959-02-22,Дерун,хутір Богуслав,"сквер Садова 2-га, буд. 5 кв. 23, Краматорськ, 44871",161 93 07,alinaumanets@example.org
Ярема,Амалія,,Жінка,1947-08-21,Різноробочий,селище Світловодськ,"провулок Книжковий, буд. 604 кв. 988, Покров, 50614",071 556-86-52,mdubenko@example.net
Єфименко,Розалія,,Жінка,1946-04-27,Графік,селище Рогатин,"узвіз Героїв прикордонників, буд. 281, Татарбунари, 73749",440-71-45,mfilipenko@example.com
Швайка,Ада,,Жінка,1948-08-13,Складальник,селище Буча,"площа Донецька, буд. 24, Чернігів, 01155",+380 (27) 324-62-38,gromanets@example.net
Колесниченко,Ярина,,Жінка,2004-10-10,Петрограф,селище Жданівка,"узвіз Манежна, буд. 20 кв. 350, Ізюм, 05661",032 477 18 24,mykolai18@example.net
Вдовенко,Михайлина,,Жінка,1971-11-25,Дипломат,місто Долина ,"проспект Ковалевського, буд. 65 кв. 512, Калинівка , 88852",+380 (04) 567-17-54,klavdiia51@example.org
Єрошенко,Тетяна,,Жінка,1979-05-12,Локсмайстер,хутір Антрацит ,"парк Пересипський узвіз, буд. 0, Бровари, 76048",+380 (91) 218-23-23,karpaliudmyla@example.net
Іваненко,Пріска,,Жінка,1939-03-03,Астронавт,хутір Новогродівка,"сквер Яблочкіної, буд. 97, Бердичів, 89296",+380 (55) 222-96-58,vkharchenko@example.com
Чміль,Едита,,Жінка,1959-02-05,Музикознавець,хутір Гнівань,"провулок Студентський 1-й, буд. 0 кв. 61, Берестечко, 37545",440-44-96,mykyta20@example.com
Опанасенко,Соломія,,Жінка,1950-09-24,Випробувач,хутір Золотоноша,"площа Моторний 2-й, буд. 62 кв. 375, Бахмач, 83328",019 443-54-80,cherinkooksana@example.net
Атрощенко,Орина,,Жінка,1963-05-05,Фольклорист,село Каховка,"провулок Сєрогодського, буд. 3 кв. 85, Авдіївка, 68154",+380 91 824-78-34,vlasenkozorian@example.com
Онуфрієнко,Амалія,,Жінка,1954-02-07,Кінорежисер,місто Дружківка,"шосе Дорожня, буд. 03 кв. 65, Амвросіївка, 03437",+380 30 309-30-52,oryna90@example.net
Хоменко,Ярина,,Жінка,1977-07-14,Штукатур,селище Решетилівка,"площа Перемоги, буд. 7, Білозерське, 44005",+380 (50) 012-94-36,erikaierchenko@example.net
Баран,Ольга,,Жінка,1998-07-05,Громадський діяч,селище Славута,"провулок Градоначальницька, буд. 9 кв. 972, Радехів, 82252",178 96 90,kadeniukdemyd@example.com
Засядько,Мілена,,Жінка,1976-10-30,Мистецтвознавець,хутір Любомль,"вулиця Академіка Векслера, буд. 946 кв. 371, Галич, 06314",+380 88 626-47-42,martyn07@example.org
Прокопович,Маруся,,Жінка,1976-08-16,Перекладач,хутір Свалява,"сквер Черепанових 2-й, буд. 0 кв. 94, Прилуки, 58132",+380 88 982-21-39,khoma23@example.org
Засенко,Богуслава,,Жінка,1975-08-18,Намотувальник,селище Енергодар,"набережна 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 32 кв. 28, Винники, 44893",061 734-01-36,ievtushenkoiakiv@example.org
Гавриленко,Єва,,Жінка,1955-06-27,Гірничий інженер,селище Лебедин,"сквер Восьмого березня 6-й, буд. 121 кв. 8, Овруч, 16580",+380 64 200-80-79,hlibvermenych@example.org
Редько,Марта,,Жінка,2007-07-21,Слідчий,місто Київ,"узвіз Лиманчик 2-й Лінія 9-та, буд. 09, Скалат, 04588",085 601-78-03,iukhym99@example.com
Артеменко,Віра,,Жінка,1942-04-25,Паблік рилейшнз,село Сторожинець,"площа Скляний 1-й, буд. 6 кв. 81, Бобринець, 30197",+380 69 554-75-52,parmenchervonenko@example.net
Овчаренко,Маруся,,Жінка,1994-09-01,Диригент,село Броди,"сквер Топольського, буд. 060 кв. 60, Борислав, 99317",090 649-83-77,qonufriienko@example.org
Данько,Богуслава,,Жінка,1997-11-07,Конструктор,місто Привілля,"парк Орликова, буд. 54 кв. 819, Благовіщенське, 51616",707 98 19,haidaivarvara@example.net
Заєць,Орина,,Жінка,1994-09-29,Економіст,селище Славутич,"шосе Отамана Головатого, буд. 2 кв. 550, Почаїв, 39013",069 808 07 40,oiakovenko@example.com
Царенко,Олена,,Жінка,1990-02-27,Дантист,селище Дрогобич,"сквер Палубний, буд. 77, Ровеньки, 28513",+380 57 263-36-89,nazar69@example.net
Артюшенко,Сніжана,,Жінка,1970-11-28,Хореограф,селище Борзна,"провулок Заводська 4-та, буд. 6, Жидачів, 08026",+380 (62) 739-88-96,semen13@example.net
Шаповал,Лілія,,Жінка,1944-09-28,Євнух,місто Моршин,"сквер Восьмого березня 2-й, буд. 9 кв. 24, Каховка, 60704",+380 85 768 01 40,lizatalan@example.org
Ґерус,Віра,,Жінка,1990-02-14,Продюсер,селище Підгородне,"узвіз Одарія, буд. 1, Козятин, 84065",+380 (47) 853-44-79,martakabaliuk@example.org
Гаврилець,Надія,,Жінка,1972-08-28,Бухгалтер,селище Вільнянськ,"площа Аграрна, буд. 31, Рава-Руська, 75809",058 143-40-76,ipoltavets@example.com
Рябошапка,Клавдія,,Жінка,1999-12-15,Ріелтор,село Христинівка,"узвіз Літній, буд. 4, Немирів, 31034",+380 01 662-04-90,viktorbezditko@example.com
Овсієнко,Ганна,,Жінка,1949-07-05,Мікробіолог,село Балта,"шосе Перший Кришталевий, буд. 39 кв. 042, Ладижин, 69531",376 50 45,semenlutsenko@example.com
Романенко,Камілла,,Жінка,1949-01-23,Фольклорист,село Моспине,"парк Бородінська, буд. 57 кв. 00, Баранівка, 90383",+380 90 995-10-45,riabetsirena@example.org
Токар,Оксенія,,Жінка,1975-11-23,Музикознавець,село Глиняни,"площа Маршала Говорова, буд. 60 кв. 10, Амвросіївка, 97243",091 390 23 65,labatetiana@example.net
Александренко,Ганна,,Жінка,1988-05-04,Електрик,село Ржищів,"набережна Садова 2-га, буд. 58 кв. 41, Городня, 80268",800 17 21,ualeksandrenko@example.net
Лавренко,Богданна,,Жінка,1965-11-03,Фрілансер,село Червоноград,"проспект Сурикова 1-й, буд. 903 кв. 986, Полонне, 41172",+380 82 027-78-16,vashchenkozlatoslava@example.org
Удовиченко,Мілена,,Жінка,1980-10-12,Юрист,селище Радивилів,"площа Деревообробний 4-й, буд. 57 кв. 44, Липовець, 41119",+380 59 017-63-48,vlasiukkyrylo@example.net
Пустовіт,Оксенія,,Жінка,1971-07-01,Бухгалтер,селище Херсон,"провулок Єврейська, буд. 98, Шаргород, 78943",713 73 88,ihor94@example.net
Вдовенко,Ада,,Жінка,1946-04-15,Математик,село Івано-Франківськ,"площа Газова, буд. 7 кв. 5, Коростень, 27976",955 83 71,bazylevychadam@example.net
Бевзенко,Орина,,Жінка,1941-05-24,Електрослюсар,місто Українськ,"сквер Виноградна, буд. 4, Новомиргород, 88005",+380 34 480-60-19,boleslav73@example.org
Калениченко,Алла,,Жінка,1994-11-11,Науковець,місто Носівка,"площа Український 2-й, буд. 6 кв. 716, Київ, 58866",079 035 60 74,zakusylomykolai@example.com
Рябовіл,Амалія,,Жінка,2006-01-19,Фермер,селище Чернівці,"вулиця Старобазарний, буд. 0 кв. 386, Славута, 08633",+380 81 861-58-22,arkadii67@example.com
Скирда,Надія,,Жінка,2001-03-23,Дизайнер,село Дубно,"проспект Вчительська, буд. 9 кв. 678, Новодружеськ, 83152",085 339-86-90,babarychenkosemen@example.com
Ажажа,Віра,,Жінка,1966-01-04,Кінолог,хутір Кам'янка-Бузька,"сквер 411-ї батареї, буд. 111 кв. 8, Ржищів, 13149",284-60-57,mariiababych@example.com
Джус,Камілла,,Жінка,1945-09-07,Складальник,місто Бережани,"проспект Лиманчик 2-й Лінія 11-та, буд. 9, Іловайськ, 13249",+380 (83) 493-88-60,haidenkoiosyp@example.com
Авдєєнко,Вікторія,,Жінка,1953-03-11,Няня,місто Слов'янськ,"шосе Центральний аеропорт, буд. 0 кв. 8, Чугуїв, 23639",847-61-86,makar61@example.net
Журавель,Лілія,,Жінка,1956-03-18,Музикознавець,селище Добромиль,"проспект Бородінська, буд. 68 кв. 226, Золоте, 24910",251 01 67,iaroslavandrusenko@example.com
Євдокименко,Амалія,,Жінка,1972-03-13,Гінеколог,село Городенка,"парк Херсонський сквер, буд. 748, Зугрес, 58181",012 058-64-30,gtsybulenko@example.org
Килимник,Дарина,,Жінка,1946-10-19,Сценарист,село Яремче,"проспект Космонавтів, буд. 3, Новий Калинів, 53418",+380 89 883 10 49,ruslan88@example.com
Засенко,Орина,,Жінка,1990-06-05,Паралегал,село Ірпінь,"шосе Західний 3-й, буд. 188 кв. 09, Білогірськ, 08246",034 569 66 77,spasbatih@example.org
Охримович,Володимира,,Жінка,1939-04-29,Кінолог,місто Корюківка,"площа Рєпіна, буд. 10, Любомль, 68967",060 947-50-18,bohuslav02@example.net
Акименко,Віра,,Жінка,1996-07-10,Гицель,село Бобринець,"вулиця Хімічний 3-й, буд. 568 кв. 29, Тальне, 96716",000 527-02-01,tetiana71@example.com
Стус,Олена,,Жінка,1981-07-30,Педагог,хутір Сновськ,"сквер Луганська, буд. 147 кв. 347, Винники, 52959",+380 (64) 982-32-36,demian24@example.com
Назаренко,Василина,,Жінка,1963-12-07,Електрослюсар,місто Таврійськ,"провулок Дідріхсона, буд. 450 кв. 445, Нове Давидково, 16317",047 902-96-89,ctiahnybok@example.org
Гузій,Надія,,Жінка,2006-08-09,Композитор,хутір Коростень,"узвіз Миколи Огренича, буд. 994 кв. 890, Верхівцеве, 40682",+380 (34) 669-49-04,symon67@example.org
Єфименко,Єлисавета,,Жінка,1982-12-15,Кіноактор,село Великі Мости,"парк Роздольна, буд. 5 кв. 9, Благовіщенське, 72585",+380 46 813-09-92,iukhymenkoliza@example.org
Андрійчук,Михайлина,,Жінка,1975-03-24,Патологоанатом,місто Зоринськ,"парк Українська, буд. 44, Хмельницький, 91853",+380 25 782-22-64,baranetsorysia@example.org
Єресько,Богданна,,Жінка,1955-07-29,Фермер,селище Буринь,"вулиця Садова 1-ша, буд. 826 кв. 3, Самбір, 67048",077 365-44-28,prokhir59@example.com
Василенко,Олена,,Жінка,1979-11-08,Програміст,селище Володимир-Волинський,"вулиця Південно-Санаторний, буд. 5 кв. 864, Кролевець, 08488",796 60 85,iaroslav71@example.net
Андрієнко,Еріка,,Жінка,1979-11-05,Музикант,місто Інкерман,"набережна Іванова 1-й, буд. 4, Сєвєродонецьк, 67526",+380 73 863-74-43,ustym51@example.org
Засядько,Анастасія,,Жінка,1940-12-17,Композитор,місто Бунге ,"набережна Сонячна, буд. 18, Яворів, 76679",+380 42 209-72-76,irenaizhakevych@example.com
Кибкало,Віолетта,,Жінка,1962-03-25,Бібліотекар,селище Батурин,"набережна Маяковського, буд. 6 кв. 79, Часів Яр, 59681",+380 82 152-18-67,perebyinissemen@example.org
Терещенко,Соломія,,Жінка,1940-05-10,Підприємець,селище Підгородне,"провулок Лиманний, буд. 2, Генічеськ, 35115",598-65-69,vadymzinchenko@example.org
Шаблій,Ярина,,Жінка,1961-02-19,Письменник,хутір Красноперекопськ,"парк Заводська 5-та, буд. 485 кв. 131, Золочів, 63917",+380 12 286-79-59,svyrydenkoostap@example.net
Яковенко,Василина,,Жінка,1959-09-27,Електротехнік,селище Євпаторія,"площа Компасний, буд. 6, Перевальськ, 53821",+380 86 544-46-02,serhiiriaboshapka@example.net
Швайка,Василина,,Жінка,1959-10-13,Няня,село Запоріжжя,"провулок Семінарська, буд. 6 кв. 202, Рівне, 38354",094 670 12 10,onysym86@example.com
Якимчук,Володимира,,Жінка,2007-09-11,М'ясник,хутір Сіверськ,"провулок Аркадійська, буд. 31 кв. 92, Соснівка , 49954",+380 (63) 458-79-97,skorobohatkoeduard@example.org
Цимбал,Віра,,Жінка,1967-08-13,Археолог,селище Путивль,"вулиця Володимира Вінниченка, буд. 2 кв. 115, Гадяч, 99726",+380 43 233 42 79,pzinchenko@example.org
Іващенко,Едита,,Жінка,1986-12-12,Літературознавець,селище Теплодар,"шосе Василя Симоненка, буд. 23 кв. 8, Кадіївка, 63506",967-31-57,fvakulenko@example.com
Лесик,Роксолана,,Жінка,1989-09-19,Машиніст,село Бар,"вулиця Супутників, буд. 8 кв. 914, Алупка, 05123",070 083-28-47,bohuslavmakohon@example.org
Дуплій,Амалія,,Жінка,1991-12-05,Електротехнік,місто Ічня,"площа Радіо, буд. 793 кв. 3, Дніпро , 39221",136 09 30,iustyna04@example.net
